Sample,Target,Cq,Replicate
Control,Target_Stable,26.62,R5
Control,Target_Induced_A,28.38,R5
Control,Target_Induced_A,28.50,R5
Control,Target_Induced_A,28.62,R5
Control,Target_Repressed_B,26.88,R5
Control,Target_Repressed_B,27.00,R5
Control,Target_Repressed_B,27.12,R5
Control,Target_Graded,28.88,R5
Control,Target_Graded,29.00,R5
Control,Target_Graded,29.12,R5
Control,Target_TechCensor,29.38,R5
Control,Target_TechCensor,29.50,R5
Control,Target_TechCensor,29.62,R5
Control,Target_BioCensor,29.88,R5
Control,Target_BioCensor,30.00,R5
Control,Target_BioCensor,30.12,R5
Control,Target_ReferenceCensor,30.38,R5
Control,Target_ReferenceCensor,30.50,R5
Control,Target_ReferenceCensor,30.62,R5
Control,Target_SampleAbsent,30.88,R5
Control,Target_SampleAbsent,31.00,R5
Control,Target_SampleAbsent,31.12,R5
Control,Target_TwoSamplesAbsent,31.38,R5
Control,Target_TwoSamplesAbsent,31.50,R5
Control,Target_TwoSamplesAbsent,31.62,R5
Control,Target_AllAbsent,Undetermined,R5
Control,Target_AllAbsent,Undetermined,R5
Control,Target_AllAbsent,Undetermined,R5
Control,Target_HighCq,38.70,R5
Control,Target_HighCq,38.82,R5
Control,Target_HighCq,38.94,R5
Treatment_A,ACTB,20.71,R5
Treatment_A,ACTB,20.83,R5
Treatment_A,ACTB,20.95,R5
Treatment_A,TBP,21.61,R5
Treatment_A,TBP,21.73,R5
Treatment_A,TBP,21.85,R5
Treatment_A,Target_Stable,26.68,R5
Treatment_A,Target_Stable,26.80,R5
Treatment_A,Target_Stable,26.92,R5
Treatment_A,Target_Induced_A,25.68,R5
Treatment_A,Target_Induced_A,25.80,R5
Treatment_A,Target_Induced_A,25.92,R5
Treatment_A,Target_Repressed_B,27.18,R5
Treatment_A,Target_Repressed_B,27.30,R5
Treatment_A,Target_Repressed_B,27.42,R5
Treatment_A,Target_Graded,28.18,R5
Treatment_A,Target_Graded,28.30,R5
Treatment_A,Target_Graded,28.42,R5
Treatment_A,Target_TechCensor,29.68,R5
Treatment_A,Target_TechCensor,29.80,R5
Treatment_A,Target_TechCensor,29.92,R5
Treatment_A,Target_BioCensor,30.18,R5
Treatment_A,Target_BioCensor,30.30,R5
Treatment_A,Target_BioCensor,30.42,R5
Treatment_A,Target_ReferenceCensor,30.68,R5
Treatment_A,Target_ReferenceCensor,30.80,R5
Treatment_A,Target_ReferenceCensor,30.92,R5
Treatment_A,Target_SampleAbsent,31.18,R5
Treatment_A,Target_SampleAbsent,31.30,R5
Treatment_A,Target_SampleAbsent,31.42,R5
Treatment_A,Target_TwoSamplesAbsent,31.68,R5
Treatment_A,Target_TwoSamplesAbsent,31.80,R5
Treatment_A,Target_TwoSamplesAbsent,31.92,R5
Treatment_A,Target_AllAbsent,Undetermined,R5
Treatment_A,Target_AllAbsent,Undetermined,R5
Treatment_A,Target_AllAbsent,Undetermined,R5
Treatment_A,Target_HighCq,39.00,R5
Treatment_A,Target_HighCq,39.12,R5
Treatment_A,Target_HighCq,39.24,R5
Treatment_B,ACTB,20.21,R5
Treatment_B,ACTB,20.33,R5
Treatment_B,ACTB,20.45,R5
Treatment_B,TBP,21.11,R5
Treatment_B,TBP,21.23,R5
Treatment_B,TBP,21.35,R5
Treatment_B,Target_Stable,26.18,R5
Treatment_B,Target_Stable,26.30,R5
Treatment_B,Target_Stable,26.42,R5
Treatment_B,Target_Induced_A,28.18,R5
Treatment_B,Target_Induced_A,28.30,R5
Treatment_B,Target_Induced_A,28.42,R5
Treatment_B,Target_Repressed_B,29.68,R5
Treatment_B,Target_Repressed_B,29.80,R5
Treatment_B,Target_Repressed_B,29.92,R5
Treatment_B,Target_Graded,26.68,R5
Treatment_B,Target_Graded,26.80,R5
Treatment_B,Target_Graded,26.92,R5
Treatment_B,Target_TechCensor,29.18,R5
Treatment_B,Target_TechCensor,29.30,R5
Treatment_B,Target_TechCensor,29.42,R5
Treatment_B,Target_BioCensor,29.68,R5
Treatment_B,Target_BioCensor,29.80,R5
Treatment_B,Target_BioCensor,29.92,R5
Treatment_B,Target_ReferenceCensor,30.18,R5
Treatment_B,Target_ReferenceCensor,30.30,R5
Treatment_B,Target_ReferenceCensor,30.42,R5
Treatment_B,Target_SampleAbsent,30.68,R5
Treatment_B,Target_SampleAbsent,30.80,R5
Treatment_B,Target_SampleAbsent,30.92,R5
Treatment_B,Target_TwoSamplesAbsent,No Ct,R5
Treatment_B,Target_TwoSamplesAbsent,No Ct,R5
Treatment_B,Target_TwoSamplesAbsent,No Ct,R5
Treatment_B,Target_AllAbsent,Undetermined,R5
Treatment_B,Target_AllAbsent,Undetermined,R5
Treatment_B,Target_AllAbsent,Undetermined,R5
Treatment_B,Target_HighCq,38.50,R5
Treatment_B,Target_HighCq,38.62,R5
Treatment_B,Target_HighCq,38.74,R5
Treatment_C,ACTB,20.56,R5
Treatment_C,ACTB,20.68,R5
Treatment_C,ACTB,20.80,R5
Treatment_C,TBP,21.46,R5
Treatment_C,TBP,21.58,R5
Treatment_C,TBP,21.70,R5
Treatment_C,Target_Stable,26.53,R5
Treatment_C,Target_Stable,26.65,R5
Treatment_C,Target_Stable,26.77,R5
Treatment_C,Target_Induced_A,28.53,R5
Treatment_C,Target_Induced_A,28.65,R5
Treatment_C,Target_Induced_A,28.77,R5
Treatment_C,Target_Repressed_B,27.03,R5
Treatment_C,Target_Repressed_B,27.15,R5
Treatment_C,Target_Repressed_B,27.27,R5
Treatment_C,Target_Graded,26.03,R5
Treatment_C,Target_Graded,26.15,R5
Treatment_C,Target_Graded,26.27,R5
Treatment_C,Target_TechCensor,29.53,R5
Treatment_C,Target_TechCensor,29.65,R5
Treatment_C,Target_TechCensor,29.77,R5
Treatment_C,Target_BioCensor,30.03,R5
Treatment_C,Target_BioCensor,30.15,R5
Treatment_C,Target_BioCensor,30.27,R5
Treatment_C,Target_ReferenceCensor,30.53,R5
Treatment_C,Target_ReferenceCensor,30.65,R5
Treatment_C,Target_ReferenceCensor,30.77,R5
Treatment_C,Target_SampleAbsent,Undetermined,R5
Treatment_C,Target_SampleAbsent,Undetermined,R5
Treatment_C,Target_SampleAbsent,Undetermined,R5
Treatment_C,Target_TwoSamplesAbsent,No Ct,R5
Treatment_C,Target_TwoSamplesAbsent,No Ct,R5
Treatment_C,Target_TwoSamplesAbsent,No Ct,R5
Treatment_C,Target_AllAbsent,Undetermined,R5
Treatment_C,Target_AllAbsent,Undetermined,R5
Treatment_C,Target_AllAbsent,Undetermined,R5
Treatment_C,Target_HighCq,38.85,R5
Treatment_C,Target_HighCq,38.97,R5
Treatment_C,Target_HighCq,40.40,R5
